StationId,StationName,City,State,Location,latitude,longitude
MH009,"Kurla, Mumbai ",Mumbai,Maharashtra,"(19.0655397, 72.8795636)",19.0655397,72.8795636
MH010,"Powai, Mumbai ",Mumbai,Maharashtra,"(19.1187195, 72.9073476)",19.1187195,72.9073476
MH011,"Sion, Mumbai ",Mumbai,Maharashtra,"(19.0465213, 72.8632834)",19.0465213,72.8632834
MH012,"Vasai West, Mumbai ",Mumbai,Maharashtra,"19.3693345,72.806127",19.3693345,72.806127
MH013,"Vile Parle West, Mumbai ",Mumbai,Maharashtra,"(19.103908, 72.840301)",19.103908,72.840301
MH014,"Worli, Mumbai ",Mumbai,Maharashtra,"(19.0117388, 72.8178706)",19.0117388,72.8178706
MH015,"Opp GPO Civil Lines, Nagpur ",Nagpur,Maharashtra,"21.1523552,79.0692636",21.1523552,79.0692636
MH016,"Gangapur Road, Nashik ",Nashik,Maharashtra,"(20.0132845, 73.7417717)",20.0132845,73.7417717
MH017,"Airoli, Navi Mumbai ",Navi Mumbai,Maharashtra,"(19.1585147, 72.9994019)",19.1585147,72.9994019
MH018,"Mahape, Navi Mumbai ",Navi Mumbai,Maharashtra,"(19.1093012, 73.0235724)",19.1093012,73.0235724
MH019,"Nerul, Navi Mumbai ",Navi Mumbai,Maharashtra,"(19.0335938, 73.018164)",19.0335938,73.018164
MH020,"Karve Road, Pune ",Pune,Maharashtra,"(18.5012255, 73.8144408)",18.5012255,73.8144408
MH021,"Solapur, Solapur ",Solapur,Maharashtra,"(17.6699734, 75.9008118)",17.6699734,75.9008118
MH022,"Pimpleshwar Mandir, Thane ",Thane,Maharashtra,"19.1937243,73.0943389",19.1937243,73.0943389
ML001,"Lumpyngngad, Shillong ",Shillong,Meghalaya,"(25.5589862,91.898564)",25.5589862,91.898564
MZ001,"Sikulpuikawn, Aizawl ",Aizawl,Mizoram,"(23.7172540, 92.7183956)",23.717254,92.7183956
OD001,"GM Office, Brajrajnagar ",Brajrajnagar,Odisha,"(21.8553897, 83.9245924)",21.8553897,83.9245924
OD002,"Talcher Coalfields,Talcher ",Talcher,Odisha,"(20.9510480, 85.1759704)",20.951048,85.1759704
PB001,"Golden Temple, Amritsar ",Amritsar,Punjab,"(31.6199787, 74.8765281)",31.6199787,74.8765281
PB002,"Hardev Nagar, Bathinda ",Bathinda,Punjab,"(30.242291049170486, 74.91789693974081)",30.242291049170486,74.91789693974081
PB003,"Civil Line, Jalandhar ",Jalandhar,Punjab,"(31.320142927776793, 75.58029910685997)",31.320142927776793,75.58029910685997
PB004,"Kalal Majra, Khanna ",Khanna,Punjab,"(30.7715259, 76.1994007)",30.7715259,76.1994007
PB005,"Punjab Agricultural University, Ludhiana ",Ludhiana,Punjab,"(30.9040094, 75.8004222)",30.9040094,75.8004222
PB006,"RIMT University, Mandi Gobindgarh ",Gobindgarh,Punjab,"(30.650973472536712, 76.32923830869169)",30.650973472536712,76.32923830869169
PB007,"Model Town, Patiala ",Patiala,Punjab,"(30.1968445, 74.948308)",30.1968445,74.948308
PB008,"Ratanpura, Rupnagar ",Rupnagar,Punjab,"(31.029928385780398, 76.57356476980942)",31.029928385780398,76.57356476980942
RJ001,"Moti Doongri, Alwar ",Alwar,Rajasthan,"(27.550733011146182, 76.60689553266285)",27.550733011146182,76.60689553266285
RJ002,"Civil Lines, Ajmer ",Ajmer,Rajasthan,"(26.9096783, 75.7812494)",26.9096783,75.7812494
RJ003,"RIICO Ind. Area III, Bhiwadi ",Bhiwandi,Rajasthan,"(28.201704913126257, 76.85957574217836)",28.201704913126257,76.85957574217836
RJ004,"Adarsh Nagar, Jaipur ",Jaipur,Rajasthan,"(26.8986698, 75.8163567)",26.8986698,75.8163567
RJ005,"Police Commissionerate, Jaipur ",Jaipur,Rajasthan,"(26.9160258, 75.8015394)",26.9160258,75.8015394
RJ006,"Shastri Nagar, Jaipur ",Jaipur,Rajasthan,"(26.9332789, 75.7972295)",26.9332789,75.7972295
RJ007,"Collectorate, Jodhpur ",Jodhpur,Rajasthan,"(26.29181626977882, 73.03674204783644)",26.29181626977882,73.03674204783644
RJ008,"Shrinath Puram, Kota ",Kota,Rajasthan,"(25.13610454361436, 75.82262217050763)",25.13610454361436,75.82262217050763
RJ009,"Indira Colony Vistar, Pali ",Pali,Rajasthan,"(25.77358990951027, 73.35026155227546)",25.77358990951027,73.35026155227546
RJ010,"Ashok Nagar, Udaipur ",Udaipur,Rajasthan,"(24.5863748, 73.7042635)",24.5863748,73.7042635
TN001,"Alandur Bus Depot, Chennai ",Chennai,Tamil Nadu,"(12.996712549504016, 80.19138035740644)",12.996712549504016,80.19138035740644
TN002,"Manali Village, Chennai ",Chennai,Tamil Nadu,"(13.172910456538439, 80.27378924129324)",13.172910456538439,80.27378924129324
TN003,"Manali, Chennai ",Chennai,Tamil Nadu,"(13.1672275, 80.2598107)",13.1672275,80.2598107
TN004,"Velachery Res. Area, Chennai ",Chennai,Tamil Nadu,"(12.979330411435406, 80.22120785865624)",12.979330411435406,80.22120785865624
TN005,"SIDCO Kurichi, Coimbatore ",Coimbatore,Tamil Nadu,"(10.937458652864096, 76.97833435198284)",10.937458652864096,76.97833435198284
TG001,"Bollaram Industrial Area, Hyderabad ",Hyderabad,Telangana,"(17.543252501247157, 78.35308536728958)",17.543252501247157,78.35308536728958
TG002,"Central University, Hyderabad ",Hyderabad,Telangana,"(17.4094797, 78.5060608)",17.4094797,78.5060608
TG003,"ICRISAT Patancheru, Hyderabad ",Hyderabad,Telangana,"(17.496315, 78.2677697)",17.496315,78.2677697
TG004,"IDA Pashamylaram, Hyderabad ",Hyderabad,Telangana,"(17.53079043964766, 78.18246389991747)",17.53079043964766,78.18246389991747
