,StationId,StationName,City,State,Status,Location,Latitude,Longitude
166,PB006,"RIMT University, Mandi Gobindgarh ",Gobindgarh,Punjab,,,,
167,PB007,"Model Town, Patiala ",Patiala,Punjab,,"(30.1968445, 74.948308)",30.1968445,74.948308
168,PB008,"Ratanpura, Rupnagar ",Rupnagar,Punjab,,,,
169,RJ001,"Moti Doongri, Alwar ",Alwar,Rajasthan,,,,
170,RJ002,"Civil Lines, Ajmer ",Ajmer,Rajasthan,,"(26.9096783, 75.7812494)",26.9096783,75.7812494
171,RJ003,"RIICO Ind. Area III, Bhiwadi ",Bhiwandi,Rajasthan,,,,
172,RJ004,"Adarsh Nagar, Jaipur ",Jaipur,Rajasthan,Active,"(26.8986698, 75.8163567)",26.8986698,75.8163567
173,RJ005,"Police Commissionerate, Jaipur ",Jaipur,Rajasthan,Active,"(26.9160258, 75.8015394)",26.9160258,75.8015394
174,RJ006,"Shastri Nagar, Jaipur ",Jaipur,Rajasthan,Active,"(26.9332789, 75.7972295)",26.9332789,75.7972295
175,RJ007,"Collectorate, Jodhpur ",Jodhpur,Rajasthan,,,,
176,RJ008,"Shrinath Puram, Kota ",Kota,Rajasthan,,,,
177,RJ009,"Indira Colony Vistar, Pali ",Pali,Rajasthan,,,,
178,RJ010,"Ashok Nagar, Udaipur ",Udaipur,Rajasthan,,"(24.5863748, 73.7042635)",24.5863748,73.7042635
179,TN001,"Alandur Bus Depot, Chennai ",Chennai,Tamil Nadu,Active,,,
180,TN002,"Manali Village, Chennai ",Chennai,Tamil Nadu,Active,,,
181,TN003,"Manali, Chennai ",Chennai,Tamil Nadu,Active,"(13.1672275, 80.2598107)",13.1672275,80.2598107
182,TN004,"Velachery Res. Area, Chennai ",Chennai,Tamil Nadu,Active,,,
183,TN005,"SIDCO Kurichi, Coimbatore ",Coimbatore,Tamil Nadu,Active,,,
184,TG001,"Bollaram Industrial Area, Hyderabad ",Hyderabad,Telangana,Active,,,
185,TG002,"Central University, Hyderabad ",Hyderabad,Telangana,Active,"(17.4094797, 78.5060608)",17.4094797,78.5060608
186,TG003,"ICRISAT Patancheru, Hyderabad ",Hyderabad,Telangana,Active,"(17.496315, 78.2677697)",17.496315,78.2677697
187,TG004,"IDA Pashamylaram, Hyderabad ",Hyderabad,Telangana,Active,,,
188,TG005,"Sanathnagar, Hyderabad ",Hyderabad,Telangana,Active,"(17.4569654, 78.4434781)",17.4569654,78.4434781
189,TG006,"Zoo Park, Hyderabad ",Hyderabad,Telangana,Active,"(17.3569337, 78.4513648)",17.3569337,78.4513648
190,UP001,"Sanjay Palace, Agra ",Agra,Uttar Pradesh,,,,
191,UP002,"New Collectorate, Baghpat ",Baghpat,Uttar Pradesh,,,,
192,UP003,"Yamunapuram, Bulandshahr ",Bulandshahr,Uttar Pradesh,,,,
193,UP004,"Indirapuram, Ghaziabad ",Ghaziabad,Uttar Pradesh,,"(28.6423908, 77.3684892)",28.6423908,77.3684892
194,UP005,"Loni, Ghaziabad ",Ghaziabad,Uttar Pradesh,,"(28.7317295, 77.2900919)",28.7317295,77.2900919
195,UP006,"Sanjay Nagar, Ghaziabad ",Ghaziabad,Uttar Pradesh,,"(28.6313989, 77.4709115)",28.6313989,77.4709115
196,UP007,"Vasundhara, Ghaziabad ",Ghaziabad,Uttar Pradesh,,"(28.6619725, 77.3732972)",28.6619725,77.3732972
197,UP008,"Knowledge Park - III, Greater Noida ",Greater Noida,Uttar Pradesh,,"(28.478588, 77.4813689)",28.478588,77.4813689
198,UP009,"Knowledge Park - V, Greater Noida ",Greater Noida,Uttar Pradesh,,"(28.478588, 77.4813689)",28.478588,77.4813689
199,UP010,"Anand Vihar, Hapur ",Hapur,Uttar Pradesh,,,,
200,UP011,"Nehru Nagar, Kanpur ",Kanpur,Uttar Pradesh,,"(26.4722201, 80.3241388)",26.4722201,80.3241388
