stationid,year,season,aqi_mean,latitude,longitude,closest_nuclear_distance,mean_distance_3_nearest,closest_nuclear_plant,nuclear_density_100km,inverse_distance_score_100km,log_closest_nuclear_distance,log_mean_distance_3_nearest
DL009,2019,3,88.04347826086956,28.5000822,77.2675147,118.08667537077248,329.4347904936255,N.A.P.S,0,0.0,4.7798515924431415,5.80040933420756
DL009,2019,4,315.10869565217394,28.5000822,77.2675147,118.08667537077248,329.4347904936255,N.A.P.S,0,0.0,4.7798515924431415,5.80040933420756
DL009,2020,1,232.25274725274724,28.5000822,77.2675147,118.08667537077248,329.4347904936255,N.A.P.S,0,0.0,4.7798515924431415,5.80040933420756
DL009,2020,2,161.82417582417582,28.5000822,77.2675147,118.08667537077248,329.4347904936255,N.A.P.S,0,0.0,4.7798515924431415,5.80040933420756
DL009,2020,3,111.0,28.5000822,77.2675147,118.08667537077248,329.4347904936255,N.A.P.S,0,0.0,4.7798515924431415,5.80040933420756
DL010,2018,1,339.9824561403509,28.5656109,77.0670366,138.97386154489942,336.237329909347,N.A.P.S,0,0.0,4.941455701927365,5.820786925544027
DL010,2018,2,237.82222222222222,28.5656109,77.0670366,138.97386154489942,336.237329909347,N.A.P.S,0,0.0,4.941455701927365,5.820786925544027
DL010,2018,3,141.1304347826087,28.5656109,77.0670366,138.97386154489942,336.237329909347,N.A.P.S,0,0.0,4.941455701927365,5.820786925544027
DL010,2018,4,399.0217391304348,28.5656109,77.0670366,138.97386154489942,336.237329909347,N.A.P.S,0,0.0,4.941455701927365,5.820786925544027
DL010,2019,1,290.26666666666665,28.5656109,77.0670366,138.97386154489942,336.237329909347,N.A.P.S,0,0.0,4.941455701927365,5.820786925544027
DL010,2019,2,270.8666666666667,28.5656109,77.0670366,138.97386154489942,336.237329909347,N.A.P.S,0,0.0,4.941455701927365,5.820786925544027
DL010,2019,3,165.18478260869566,28.5656109,77.0670366,138.97386154489942,336.237329909347,N.A.P.S,0,0.0,4.941455701927365,5.820786925544027
DL010,2019,4,380.32608695652175,28.5656109,77.0670366,138.97386154489942,336.237329909347,N.A.P.S,0,0.0,4.941455701927365,5.820786925544027
DL010,2020,1,273.3076923076923,28.5656109,77.0670366,138.97386154489942,336.237329909347,N.A.P.S,0,0.0,4.941455701927365,5.820786925544027
DL010,2020,2,139.3846153846154,28.5656109,77.0670366,138.97386154489942,336.237329909347,N.A.P.S,0,0.0,4.941455701927365,5.820786925544027
DL010,2020,3,121.0,28.5656109,77.0670366,138.97386154489942,336.237329909347,N.A.P.S,0,0.0,4.941455701927365,5.820786925544027
DL012,2018,1,224.38888888888889,28.5543559,77.0974746,135.7565463037447,335.0535271186993,N.A.P.S,0,0.0,4.918202310750441,5.817270454176098
DL012,2018,2,174.1868131868132,28.5543559,77.0974746,135.7565463037447,335.0535271186993,N.A.P.S,0,0.0,4.918202310750441,5.817270454176098
DL012,2018,3,96.74444444444444,28.5543559,77.0974746,135.7565463037447,335.0535271186993,N.A.P.S,0,0.0,4.918202310750441,5.817270454176098
DL012,2018,4,297.2134831460674,28.5543559,77.0974746,135.7565463037447,335.0535271186993,N.A.P.S,0,0.0,4.918202310750441,5.817270454176098
DL012,2019,1,230.90804597701148,28.5543559,77.0974746,135.7565463037447,335.0535271186993,N.A.P.S,0,0.0,4.918202310750441,5.817270454176098
DL012,2019,2,190.18421052631578,28.5543559,77.0974746,135.7565463037447,335.0535271186993,N.A.P.S,0,0.0,4.918202310750441,5.817270454176098
DL012,2019,3,116.08108108108108,28.5543559,77.0974746,135.7565463037447,335.0535271186993,N.A.P.S,0,0.0,4.918202310750441,5.817270454176098
DL012,2019,4,293.8152173913044,28.5543559,77.0974746,135.7565463037447,335.0535271186993,N.A.P.S,0,0.0,4.918202310750441,5.817270454176098
DL012,2020,1,196.86813186813185,28.5543559,77.0974746,135.7565463037447,335.0535271186993,N.A.P.S,0,0.0,4.918202310750441,5.817270454176098
DL012,2020,2,102.6067415730337,28.5543559,77.0974746,135.7565463037447,335.0535271186993,N.A.P.S,0,0.0,4.918202310750441,5.817270454176098
DL012,2020,3,92.0,28.5543559,77.0974746,135.7565463037447,335.0535271186993,N.A.P.S,0,0.0,4.918202310750441,5.817270454176098
DL013,2018,1,227.32222222222222,28.6814403,77.3028964,122.93239504552558,344.3672627460362,N.A.P.S,0,0.0,4.819736215683035,5.8446083805200715
DL013,2018,2,205.93333333333334,28.6814403,77.3028964,122.93239504552558,344.3672627460362,N.A.P.S,0,0.0,4.819736215683035,5.8446083805200715
DL013,2018,3,98.96511627906976,28.6814403,77.3028964,122.93239504552558,344.3672627460362,N.A.P.S,0,0.0,4.819736215683035,5.8446083805200715
