stationid,year,season,aqi_mean,city_clean,state_clean,district_clean,district_seasonal_rainfall_mm,state_seasonal_rainfall_mm,weighted_seasonal_rainfall_mm,rainfall_source,log_weighted_seasonal_rainfall_mm
DL031,2019,3,115.3956043956044,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL031,2019,4,283.57608695652175,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL031,2020,1,201.54945054945054,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL031,2020,2,104.0,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL031,2020,3,73.0,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL032,2018,1,307.2631578947368,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL032,2018,2,270.02272727272725,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL032,2018,3,115.2967032967033,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL032,2018,4,422.1123595505618,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL032,2019,1,316.93333333333334,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL032,2019,2,232.20224719101122,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL032,2019,3,113.90217391304348,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL032,2019,4,358.4673913043478,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL032,2020,1,280.1868131868132,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL032,2020,2,142.6153846153846,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL032,2020,3,108.0,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL033,2018,1,264.5444444444444,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL033,2018,2,191.5888888888889,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL033,2018,3,99.25555555555556,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL033,2018,4,325.8369565217391,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL033,2019,1,290.94117647058823,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL033,2019,2,257.34444444444443,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL033,2019,3,117.75,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL033,2019,4,271.70652173913044,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL033,2020,1,214.95604395604394,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL033,2020,2,88.43956043956044,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL033,2020,3,84.0,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL034,2018,1,254.38333333333333,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL034,2018,2,296.8625,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
